location_key	location_id	location_name	date	tmin_c	tmax_c	precip_mm
1	BGD-DHAKA	Dhaka	2019-01-01	12.3	26.4	0.0
1	BGD-DHAKA	Dhaka	2019-01-02	13.14	25.61	0.0
1	BGD-DHAKA	Dhaka	2019-01-03	12.46	25.81	0.0
1	BGD-DHAKA	Dhaka	2019-01-04	10.01	24.12	0.0
1	BGD-DHAKA	Dhaka	2019-01-05	10.03	25.31	0.0
1	BGD-DHAKA	Dhaka	2019-01-06	11.75	26.25	0.0
1	BGD-DHAKA	Dhaka	2019-01-07	12.34	26.99	0.0
1	BGD-DHAKA	Dhaka	2019-01-08	13.83	26.87	0.0
1	BGD-DHAKA	Dhaka	2019-01-09	13.55	25.98	0.0
1	BGD-DHAKA	Dhaka	2019-01-10	13.26	24.83	0.0
1	BGD-DHAKA	Dhaka	2019-01-11	11.16	24.8	0.0
1	BGD-DHAKA	Dhaka	2019-01-12	11.5	25.56	0.0
1	BGD-DHAKA	Dhaka	2019-01-13	12.07	26.61	0.0
1	BGD-DHAKA	Dhaka	2019-01-14	12.81	26.25	0.0
1	BGD-DHAKA	Dhaka	2019-01-15	11.35	25.42	0.0
1	BGD-DHAKA	Dhaka	2019-01-16	10.16	25.48	0.0
1	BGD-DHAKA	Dhaka	2019-01-17	12.12	26.62	0.0
1	BGD-DHAKA	Dhaka	2019-01-18	12.86	26.01	0.0
1	BGD-DHAKA	Dhaka	2019-01-19	12.55	25.4	0.0
1	BGD-DHAKA	Dhaka	2019-01-20	11.87	25.75	0.0
1	BGD-DHAKA	Dhaka	2019-01-21	13.46	27.14	0.0
1	BGD-DHAKA	Dhaka	2019-01-22	13.37	28.06	0.0
1	BGD-DHAKA	Dhaka	2019-01-23	12.58	28.25	0.0
1	BGD-DHAKA	Dhaka	2019-01-24	13.01	29.1	0.0
1	BGD-DHAKA	Dhaka	2019-01-25	14.05	29.11	0.0
1	BGD-DHAKA	Dhaka	2019-01-26	14.26	30.24	0.0
1	BGD-DHAKA	Dhaka	2019-01-27	15.53	29.0	0.0
1	BGD-DHAKA	Dhaka	2019-01-28	15.66	28.34	0.0
1	BGD-DHAKA	Dhaka	2019-01-29	13.9	25.63	0.0
1	BGD-DHAKA	Dhaka	2019-01-30	9.06	24.71	0.0
1	BGD-DHAKA	Dhaka	2019-01-31	10.27	27.55	0.0
1	BGD-DHAKA	Dhaka	2019-02-01	12.13	28.65	0.0
1	BGD-DHAKA	Dhaka	2019-02-02	14.64	28.33	0.0
1	BGD-DHAKA	Dhaka	2019-02-03	14.03	28.41	0.0
1	BGD-DHAKA	Dhaka	2019-02-04	13.7	28.14	0.0
1	BGD-DHAKA	Dhaka	2019-02-05	12.55	28.39	0.0
1	BGD-DHAKA	Dhaka	2019-02-06	13.79	27.59	0.0
1	BGD-DHAKA	Dhaka	2019-02-07	12.89	29.29	0.0
1	BGD-DHAKA	Dhaka	2019-02-08	15.16	29.8	0.0
1	BGD-DHAKA	Dhaka	2019-02-09	16.7	29.23	0.71
1	BGD-DHAKA	Dhaka	2019-02-10	13.37	27.27	0.0
1	BGD-DHAKA	Dhaka	2019-02-11	10.64	27.12	0.0
1	BGD-DHAKA	Dhaka	2019-02-12	11.94	28.63	0.0
1	BGD-DHAKA	Dhaka	2019-02-13	14.86	29.7	0.0
1	BGD-DHAKA	Dhaka	2019-02-14	15.58	31.08	0.0
1	BGD-DHAKA	Dhaka	2019-02-15	17.47	31.69	0.0
1	BGD-DHAKA	Dhaka	2019-02-16	17.65	30.26	0.35
1	BGD-DHAKA	Dhaka	2019-02-17	15.57	26.29	11.04
