location_key	location_id	location_name	date	tmin_c	tmax_c	precip_mm
1	BGD-BAG	Bagerhat District	2019-12-01	14.0	29.0	2.0
1	BGD-BAG	Bagerhat District	2019-12-02	13.0	31.0	5.0
1	BGD-BAG	Bagerhat District	2020-01-01	12.0	25.0	0.0
1	BGD-BAG	Bagerhat District	2020-01-02	10.0	32.0	1.0
1	BGD-BAG	Bagerhat District	2020-02-29	9.0	34.0	3.0
1	BGD-BAG	Bagerhat District	2020-05-14	18.0	36.0	4.0
1	BGD-BAG	Bagerhat District	2020-07-18	22.0	35.0	10.0
1	BGD-BAG	Bagerhat District	2020-07-19	23.0	36.0	0.0
1	BGD-BAG	Bagerhat District	2020-07-20	24.0	38.0	2.0
1	BGD-BAG	Bagerhat District	2020-07-21	25.0	39.0	1.0
